ShopID,ShopName,Address,Landmark,Area,City,Pincode,Latitude,Longitude,State,StartTime,EndTime,OpenMonday,OpenTuesday,OpenWednesday,OpenThursday,OpenFriday,OpenSaturday,OpenSunday,MerchantID,ShopAddDate
2780,Salt Kitch N Bar,"V-12 Hospitality, Signet Corner, Baner Road",,Baner Road,Pune,,18.5549928,73.7970828,Maharashtra,12:00 Noon  to 11:30 PM,,1,1,1,1,1,1,1,2680,06-01-2015
2781,Shatranj Wine & Dine,"120 A, Lane No 4, Koregaon Park",,Koregaon Park,Pune,,18.5393772,73.8945756,Maharashtra,07:00 AM  to 11:30 PM,,1,1,1,1,1,1,1,2681,06-01-2015
2782,Soak,"Hotel Novotel, Survey No 30/3, Weikfield, I T City , Infopark, Viman Nagar",,Viman Nagar,Pune,,18.567929,73.9143179,Maharashtra,05:30 PM to 01:00 AM,,1,1,1,1,1,1,1,2682,06-01-2015
2783,The Eye Club,"S.No. 33/1/1. Plot No. 2H, Neco Gardens Road, Viman Nagar",,Viman Nagar,Pune,,18.567929,73.9143179,Maharashtra,07:00 AM to 11:30 PM,,1,1,1,1,1,1,1,2683,06-01-2015
2784,The Mugshot Lounge,"3rd floor, Jewel Square Mall, Koregaon Park",,Koregaon Park,Pune,,18.5389103,73.8858838,Maharashtra,05:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2684,06-01-2015
2785,Toss Sports Lounge,"Winners Court, 2nd Floor, Pervati Road, Main Lulla Nagar Chowk, Lulla Nagar",,Lulla Nagar,Pune,,18.4847906,73.885986,Maharashtra,02:00 PM to 12:00 Midnight,,1,1,1,1,1,1,1,2685,06-01-2015
2786,Treat Cafe and Bar Lounge,#NAME?,,Kalwa,Thane,,19.2128663,73.0102182,Maharashtra,24 Hours,,1,1,1,1,1,1,1,2686,06-01-2015
2787,X tasy (The Pride Hotel),"5 University Road, Shivajinagar",,Ganeshkhind,Pune,,18.5422487,73.8285328,Maharashtra,11:00 AM to 12:30 AM,,1,1,1,1,1,1,1,2687,06-01-2015
2788,Wah Marathi Dine N Wine,"3rd Floor, Seasons Mall, Magarpatta & Sholapur Road",,Sholapur Road,Pune,,18.5204303,73.8567437,Maharashtra,"11:00 AM to 03:00 PM, 07:30 PM to 11:00 PM",,1,1,1,1,1,1,1,2688,06-01-2015
2789,Yo! China Cafe,"Phoenix Market City, Viman Nagar Rd, Sakore Nagar, Viman Nagar",,Viman Nagar,Pune,,18.5628719,73.9180437,Maharashtra,12:00 Noon to 11:00 PM,,1,1,1,1,1,1,1,2689,06-01-2015
2790,Xanadu,"Ambrosia Resort & Spa, Survey No. 38/2, Bawdhan Khurd",,Bawdhan Khurd,Pune,,18.5032379,73.7659288,Maharashtra,07:00 PM to 12:00 Midnight,,1,1,1,1,1,1,1,2690,06-01-2015
2791,Zaheer Khans Dine Fine,"Plot No 23, Sahani Sujan Park, Main Lullanager, Kondhwa",,Kondhwa,Pune,,18.4770906,73.8906869,Maharashtra,01:00 PM to 12:00 Midnight,,1,1,1,1,1,1,1,2691,06-01-2015
2792,ZKs,"S 53 & 54, Phoenix Market City, Nagar Road, Viman Nagar",,Viman Nagar,Pune,,18.5620306,73.9145519,Maharashtra,01:00 PM to 12:00 Midnight,,1,1,1,1,1,1,1,2692,06-01-2015
2793,Jimmy Hu,"390, Sanskruti Lifestyle Complex, Lane 7, Koregaon Park",,Koregaon Park,Pune,,18.5339546,73.8994667,Maharashtra,05:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2693,06-01-2015
2794,Jackson Bar,"Terrace, B Wing, ICC Trade Tower, Senapati Bapat Road",,Senapati Bapat Road,Pune,,18.5310746,73.829964,Maharashtra,05:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2694,06-01-2015
2795,Infinity at Post 91  Baner,"9th Level, Icon Towers, Baner",,Baner,Pune,,18.5653114,73.77415,Maharashtra,12:00 Noon to 11:30 PM,,1,1,1,1,1,1,1,2695,06-01-2015
2796,Independence Brewing Company,"79/1, Pingle Vasti, Mundhwa Road, Near Passport Seva Kendra, Mundhwa",,Mundhwa,Pune,,18.5321814,73.9331528,Maharashtra,01:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2696,06-01-2015
2797,Goldmine  Koregaon Park,"1st Floor, Lane 7, Koregaon Park",,Koregaon Park,Pune,,18.5339546,73.8994667,Maharashtra,12:00 Noon to 11:30 PM,,1,1,1,1,1,1,1,2697,06-01-2015
2798,Goldmine  Baner,"9th Level, Icon Towers, Baner",,Baner,Pune,,18.5653114,73.77415,Maharashtra,12:00 Noon to 11:30 PM,,1,1,1,1,1,1,1,2698,06-01-2015
2799,Fuzion,"Hotel Novotel, Survey No 30/3, Weikfield, I T City , Infopark, Viman Nagar",,Viman Nagar,Pune,,18.567929,73.9143179,Maharashtra,05:30 PM to 01:00 AM,,1,1,1,1,1,1,1,2699,06-01-2015
2800,Frangipani,"Ambrosia Resort & Spa, Survey No. 38/2, Bawdhan Khurd",,Bawdhan Khurd,Pune,,18.5032768,73.7658643,Maharashtra,12:00 Noon to 11:00 PM,,1,1,1,1,1,1,1,2700,06-01-2015
2801,Feast Cafe and Lounge,"Marunje, Opposite Allard Management college, Hinjewadi Phase-II",,Hinjawadi,Pimpri-Chinchwad,,18.5941586,73.7036514,Maharashtra,24 Hours,,1,1,1,1,1,1,1,2701,06-01-2015
2802,Elvis Lounge,"Terrace, B Wing, ICC Trade Tower, Senapati Bapat Road",,Senapati Bapat Road,Pune,,18.5310746,73.829964,Maharashtra,12:00 Noon to 11:30 PM,,1,1,1,1,1,1,1,2702,06-01-2015
2803,Cinnamon Spice,"128 / 2. Sanewadi, Aundh",,Aundh,Pune,,18.5546562,73.806984,Maharashtra,07:00 PM  to 11:00 PM,,1,1,1,1,1,1,1,2703,06-01-2015
2804,Casero,"City Tower, Boat Club Road (Near Bund Garden Road)",,Bund Garden Road,Pune,,18.5311178,73.8791718,Maharashtra,12:00 Noon to 11:00 PM,,1,1,1,1,1,1,1,2704,06-01-2015
2805,Cafe Chinoise,"Hotel Hindusthan International, 33/1/1, Plot 2H, Neco Gardens Road, Viman Nagar",,Viman Nagar,Pune,,18.567929,73.9143179,Maharashtra,12:00 PM to 11:30 PM,,1,1,1,1,1,1,1,2705,06-01-2015
2806,By The Way,"6A1195/ C, Fergusson College Road, Shivaji Nagar ",,Shivajinagar,Pune,,18.5235694,73.8411279,Maharashtra,12:00 Noon to 12:00 Midnight,,1,1,1,1,1,1,1,2706,06-01-2015
2807,Hard Rock Cafe,"81/82, Mundhwa Road, Koregaon Park Annexe",,Vadgoan Sheri,Pune,,18.5398634,73.9322874,Maharashtra,12 Noon to 12:30 AM,,1,1,1,1,1,1,1,2707,06-01-2015
